Timestamp,Student_ID,Gaze_Status,Attention,Expression,Engagement,Final_Status
2025-11-15 23:00:54,1,Attentive,attentive,Sad,confused,Confused
2025-11-15 23:00:54,1,Attentive,attentive,Sad,confused,Confused
2025-11-15 23:00:54,1,Attentive,attentive,Sad,confused,Confused
2025-11-15 23:00:54,1,Attentive,attentive,Sad,confused,Confused
2025-11-15 23:00:54,1,Attentive,attentive,Sad,confused,Confused
2025-11-15 23:00:54,1,Attentive,attentive,Sad,confused,Confused
2025-11-15 23:00:54,1,Attentive,attentive,Sad,confused,Confused
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Sad,confused,Confused
2025-11-15 23:00:55,1,Attentive,attentive,Sad,confused,Confused
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
2025-11-15 23:00:55,1,Attentive,attentive,Neutral,bored,Neutral
